Media Link,Media Credit,Description,Zoom,Custom Number,Marker,Chapter,Marker Color,Latitude,Longitude
,,"Los Reales Alcázares de Sevilla constituyen el palacio real en uso más antiguo de Europa. Emplazado en la antigua ""Acrópolis"" de la ciudad (la zona más elevada, donde surgió su primer poblamiento), junto a la Catedral de Sevilla y el Archivo de Indias completa la terna de bienes declarados Patrimonio de la Humanidad por la UNESCO en 1987. Los Reales Alcázares de hoy son el resultado de la superposición de diferentes etapas constructivas, que han ido de la mano de monarcas importantes de nuestra Historia, como Pedro I o Carlos V. Así, aunque de origen hispanoárabe, destacan sus construcciones mudéjares, góticas y renacentistas, que le han valido ser el tercer monumento más visitado de España, solo por detrás de la Alhambra de Granada y la Sagrada Familia de Barcelona. Los Reales Alcázares de Sevilla constituyen un laboratorio arqueológico de primer orden, así como un plató cinematográfico de indudable atractivo, cuya historia abarca desde las primeras impresiones Lumière hasta filmaciones con destino a plataformas digitales. Esta ruta pretende guiar al visitante a través de cuatro tipologías de hitos (palacios, jardines, murallas y vistas), que se distinguen en el mapa a través de diferentes colores, y contienen una breve mirada sobre las producciones más emblemáticas rodadas en los rincones del palacio. Se propone, de este modo, una visita interactiva a un monumento profundamente vivo, permitiendo al visitante intercalar su itinerario con las vistas privilegiadas del palacio sobre el principal icono de la ciudad (la Giralda), y completarse con sus espacios aledaños (Barrio de Santa Cruz). Adentrémonos en la fascinante historia cinematográfica de este espacio único.",18,nan,Hidden,<b>Introducción</b>,,,
images/1.jpg,"Kingdom of Heaven (Ridley Scott, 2005): 1:00:17-1:02:56 (02:38 minutos) ","Este conjunto de salones ha sido utilizado desde 1916 para recreaciones históricas, como en ""Christophe Colomb"" (Gérard Bourgeois), acogiendo la llegada del Almirante a Sevilla tras su viaje a las Indias. Más allá de ""Game of Thrones"", estas estancias han sido utilizadas en films de corte histórico tan singulares como ""1492: The Conquest of Paradise"" o ""Kingdom of Heaven"", ambas dirigidas por Ridley Scott (en 1992 y 2005, respectivamente). Se trata de producciones en las que los personajes protagonistas deambulan por las habitaciones particulares de lo que se representa como un palacio vivido, ambientado con todo lujo de detalles. Se da la circunstancia de que su arquitectura mudéjar sirve de marco a los sinsabores de los protagonistas cristianos, como una puerta hacia la intimidad de estos monarcas y sus quehaceres cotidianos, tal y como ha sido a lo largo de los siglos en su calidad de residencia real. Las coordenadas pertenecen al Salón de Embajadores, como eje principal del Palacio mudéjar del Rey Don Pedro. ",18,1,CustomNumbered,"<svg viewBox=""0 0 20 20"" xmlns=""http://www.w3.org/2000/svg"" width=""1.5em"" height=""1.5em""><circle cx=""10"" cy=""10"" r=""10"" fill=""#9a2125"" /><text x=""10"" y=""10"" font-family=""Arial"" font-size=""15"" fill=""white"" dominant-baseline=""middle"" text-anchor=""middle"">1</text></svg>Ridley Scott y el Palacio del Rey Don Pedro. Patio de las Doncellas, Salón de Embajadores, Salón del Techo de Felipe II y Salón de Infantes",red,37.383422,-5.991507
images/2.jpg,"The Wind and the Lion (John Milius, 1975): 0:41:49-0:42:33 (0:46 minutos)","Estos salones constituyen las dos secciones longitudinales que rodean el Patio de las Doncellas y, con las estancias del clip anterior, cierran el conjunto de la planta baja del Palacio del Rey Don Pedro. Su exterior aparece en una ficción tan temprana como ""Les fiancés de Séville"" (Louis Feuillade, 1914), así como en ""Christophe Colomb"" (Gérard Bourgeois, 1916). Sesenta años más tarde, en ""The Wind and the Lion"" (John Milius, 1975) forman parte del palacio del Sultán de Marruecos en Fez. Se identifican como los largos pasillos que recorre el embajador de EE.UU. encargado de negociar el rescate de la ciudadana norteamericana protagonista. Las coordenadas, sin embargo, pertenecen al Patio de las Doncellas, como espacio sobre el que basculan ambas estancias, con conexión directa a él. En el mismo film, este Patio se utiliza como palacio del Bajá de Tánger, que es sorprendido y arrestado por el ejército norteamericano mientras se halla recostado bajo sus arcos.",18,2,CustomNumbered,"<svg viewBox=""0 0 20 20"" xmlns=""http://www.w3.org/2000/svg"" width=""1.5em"" height=""1.5em""><circle cx=""10"" cy=""10"" r=""10"" fill=""#9a2125"" /><text x=""10"" y=""10"" font-family=""Arial"" font-size=""15"" fill=""white"" dominant-baseline=""middle"" text-anchor=""middle"">2</text></svg>Secretos de estado en Marruecos. Salón del Techo de Carlos V y Alcoba Real",red,37.383561,-5.991313
images/3.jpg,"El caballero Don Quijote (Manuel Gutiérrez Aragón, 2003): 1:13:36-1:14:32 (0:00:56 minutos)","El Patio de las Muñecas es un espacio del Alcázar que, pese a las numerosas transformaciones que ha sufrido a lo largo de los años y los monarcas que lo han habitado, sigue conservando su esencia mudéjar. Se trata de un espacio de pequeñas dimensiones, situado entre los salones de acceso al Salón de Embajadores y la Alcoba Real, y quizá sus características hayan condicionado su escasa difusión a través del audiovisual. En la producción ""El caballero Don Quijote"" (Manuel Gutiérrez Aragón, 2002), el ingenioso hidalgo se aloja en un palacio fabuloso que no será otro que el Alcázar, y vagará a través del palacio mudéjar, recorriendo la galería superior del Patio de las Muñecas (construida por Felipe II), bajo la claraboya de cristal que hizo instalar Isabell II. Este Patio será también el lugar elegido por Ridley Scott para situar el funeral del rey Balduino IV el Leproso, llorado por su hermana Sibila en ""Kingdom of Heaven"" (2005).",18,3,CustomNumbered,"<svg viewBox=""0 0 20 20"" xmlns=""http://www.w3.org/2000/svg"" width=""1.5em"" height=""1.5em""><circle cx=""10"" cy=""10"" r=""10"" fill=""#9a2125"" /><text x=""10"" y=""10"" font-family=""Arial"" font-size=""15"" fill=""white"" dominant-baseline=""middle"" text-anchor=""middle"">3</text></svg>Don Quijote en Sevilla. Patio de las Muñecas",red,37.383509,-5.991557
images/4.jpg,"¿Dónde vas, Alfonso XII? (Luis César Amadori, 1959): 0:10:19-1:13:23 (0:03:04 minutos)","El Salón de Tapices del Palacio Gótico fue una de las primeras atracciones turísticas del Alcázar de Sevilla, llegándose a cobrar incluso una entrada aparte para poder contemplar sus obras. Este Salón aparece en el nombramiento de Peter O'Toole como coronel al final del film ""Lawrence of Arabia"" (David Lean, 1962) y será el escenario del duelo dialéctico entre Isabel II y su sobrina Mercedes en ""¿Dónde vas, Alfonso XII?"" (Luis César Amadori, 1959), producción de corte histórico-romántico que recrea la época en que la monarca española pasaba temporadas en el Alcázar. Hay que recordar que Isabel II, junto a Pedro I, los Reyes Católicos y Carlos V, serán los grandes personajes históricos que habiten y transformen los palacios del Alcázar.",18,4,CustomNumbered,"<svg viewBox=""0 0 20 20"" xmlns=""http://www.w3.org/2000/svg"" width=""1.5em"" height=""1.5em""><circle cx=""10"" cy=""10"" r=""10"" fill=""#9a2125"" /><text x=""10"" y=""10"" font-family=""Arial"" font-size=""15"" fill=""white"" dominant-baseline=""middle"" text-anchor=""middle"">4</text></svg>Un duelo real en época de Isabel II. Salón de Tapices (Palacio Gótico)",red,37.383698,-5.990995
images/5.jpg,"La Femme et le Pantin (Julien Duvivier, 1959): 0:57:10-0:57:51 (0:00:41 minutos)","Este singular espacio debe su transformación a Vermondo Resta, que horada la muralla almohade de separación entre los jardines del Alcázar y huertas (hoy, Jardines Nuevos), convirtiéndola en una loggia. De estilo manierista, se caracteriza por la voluntad del artista de hacer creer al espectador/visitante que se encuentra en un espacio natural que emerge de la roca, fundiéndose con los jardines y las pinturas murales de Diego de Esquivel, de las que se conservan pocos restos. Este entorno será el que acoja el rodaje de ""La Femme et le Pantin"" (Julien Duvivier, 1959), cuando Brigitte Bardot creó una auténtica revolución en Sevilla. La protagonista del film pasea junto a su amigo, guía turístico de la ciudad, por los jardines del Alcázar, accediendo incluso a la galería superior.",18,5,CustomNumbered,"<svg viewBox=""0 0 20 20"" xmlns=""http://www.w3.org/2000/svg"" width=""1.5em"" height=""1.5em""><circle cx=""10"" cy=""10"" r=""10"" fill=""#008a36"" /><text x=""10"" y=""10"" font-family=""Arial"" font-size=""15"" fill=""white"" dominant-baseline=""middle"" text-anchor=""middle"">5</text></svg>La visita turística de Brigitte Bardot. Galería del Grutesco",green,37.383711,-5.990288
images/6.jpg,"Les Fiancés de Séville (Louis Feuillade, 1914). Film completo perdido","El llamado Pabellón o Cenador de Carlos V, construido durante la estancia del monarca en el Alcázar con motivo de su boda con Isabel de Portugal, constituye la primera localización cinematográfica del Alcázar. Fue inmortalizado por primera vez por Alexandre Promio, operador de los Lumière enviado a Sevilla para rodar las primeras imágenes en movimiento de Andalucía. En 1898 registró las ""Danses Espagnoles"" en la pequeña explanada que hay delante del Pabellón. En 1914, Louis Feuillade lo elegiría para que sus personajes posaran ante un pintor francés (""Les Fiancés de Séville"") y Blasco Ibáñez, para la visita turística de ""Sangre y Arena"" (Vicente Blasco Ibáñez, Max André, 1916).",18,6,CustomNumbered,"<svg viewBox=""0 0 20 20"" xmlns=""http://www.w3.org/2000/svg"" width=""1.5em"" height=""1.5em""><circle cx=""10"" cy=""10"" r=""10"" fill=""#008a36"" /><text x=""10"" y=""10"" font-family=""Arial"" font-size=""15"" fill=""white"" dominant-baseline=""middle"" text-anchor=""middle"">6</text></svg>La primera localización cinematográfica del Alcázar. Pabellón de Carlos V (con Cenador del León)",green,37.382819,-5.990227
images/7.jpg,"Currito de la Cruz (Alejandro Pérez Lugín, 1926): 0:20:11-0:20:33 (0:00:22 minutos)","Con el fondo de la Galería del Grutesco, el Estanque de Mercurio (llamado así por la estatuilla central de su vaso, un pequeño dios alado), ha sido objeto de numerosas producciones cinematográficas. Será la primera imagen de Sevilla en ""Le Coffret de Tolède"" (Louis Feuillade, 1914). En este film unos turistas franceses deambulan bajo los arcos del Grutesco justo en el momento en que estaba previsto celebrarse la Exposición Iberoamericana. La I Guerra Mundial truncó ese primer intento y, a la espera de poder celebrarse en 1929, los realizadores españoles buscaban crear la película española ""sin españolada"" definitiva. En ""Currito de la Cruz"" (Alejandro Pérez Lugín, 1925), el protagonista celebra la ciudad como un auténtico ""Jardín del Edén"", respirando los jardines del Alcázar apoyado en el Estanque. Una escena de felicidad inolvidable.",18,7,CustomNumbered,"<svg viewBox=""0 0 20 20"" xmlns=""http://www.w3.org/2000/svg"" width=""1.5em"" height=""1.5em""><circle cx=""10"" cy=""10"" r=""10"" fill=""#008a36"" /><text x=""10"" y=""10"" font-family=""Arial"" font-size=""15"" fill=""white"" dominant-baseline=""middle"" text-anchor=""middle"">7</text></svg>La promoción de la Exposición Iberoamericana. Estanque de Mercurio",green,37.383723,-5.990453
images/8.jpg,"Sangre y arena (Vicente Blasco Ibáñez, Max André, 1916). Fragmento del film perdido","Louis Feuillade, el famoso director de las sagas ""Fantomas"" y ""Les Vampires"", irrumpió en Sevilla en 1914 para rodar ""Le Coffret de Tolède"" y ""Les Fiancés de Séville"", utilizando en ambas la Fuente de Neptuno del Jardín de las Damas  (s.XVII) como lugar de revelación de misterios (robos por parte de bandoleros, presuntos asesinatos pasionales...). Dos años más tarde, la visita turística de la protagonista de ""Sangre y arena"" conduciría al escritor/director Blasco Ibáñez a impresionar parte de su película en los jardines del Alcázar. Existen imágenes de Blasco acompañado de todo su equipo (incluido el operador francés Max André) rodando en este espacio. Para la posteridad queda la fotografía de ""Doña Elvira"" y un galán desconocido coqueteando frente a la icónica fuente rodeados de palmeras. ",18,8,CustomNumbered,"<svg viewBox=""0 0 20 20"" xmlns=""http://www.w3.org/2000/svg"" width=""1.5em"" height=""1.5em""><circle cx=""10"" cy=""10"" r=""10"" fill=""#008a36"" /><text x=""10"" y=""10"" font-family=""Arial"" font-size=""15"" fill=""white"" dominant-baseline=""middle"" text-anchor=""middle"">8</text></svg>Louis Feuillade y Blasco Ibáñez, directores de cine. Fuente de Neptuno",green,37.383269,-5.990529
images/9.jpg,"The Limits of Control (Jim Jarmusch, 2010): 1:04:13-1:09:56 (0:05:12 minutos)","El Patio de Banderas se caracteriza por encontrarse a medio camino entre la privacidad de las murallas y el espacio público de la ciudad de Sevilla. Las sucesivas transformaciones del Alcázar a lo largo de los siglos lo dejaron fuera del abrigo de la fortaleza, transitado por sevillanos y turistas, aunque la Corona siempre mantuvo la propiedad de las llamadas ""Fincas de Sevilla"", sitas en esta plaza, que le proporcionaban pingües beneficios. Desde el Patio de Banderas se crea una de las imágenes icónicas de la Giralda pero, más allá de las fabulosas vistas sobre el marcador turístico más reconocible de la ciudad, el Patio de Banderas, como plaza pública, también ha ejercido su protagonismo en el cine. Así, el director Jim Jarmusch lo eligió como lugar público de intercambio entre Isaach de Bankole y John Hurt. Este último, tras recorrer diversas calles del Barrio de Santa Cruz y contemplar las murallas redescubiertas por Romero Murube, se adentra en la plaza, donde su misterioso compañero le espera sentado en un café. Hay que destacar que la plaza se encontraba todavía en su estado original previo a las excavaciones de la década de 2010, en las que se hallaron restos romanos que esperan aún para su puesta en valor.",18,9,CustomNumbered,"<svg viewBox=""0 0 20 20"" xmlns=""http://www.w3.org/2000/svg"" width=""1.5em"" height=""1.5em""><circle cx=""10"" cy=""10"" r=""10"" fill=""#231f20"" /><text x=""10"" y=""10"" font-family=""Arial"" font-size=""15"" fill=""white"" dominant-baseline=""middle"" text-anchor=""middle"">9</text></svg>La metafísica de Jim Jarmusch. Patio de Banderas",black,37.38488,-5.99141
